Fixed Income Money Market and Derivatives Association of India,
,
"FIMMDA, PDAI - GOI Prices as on Nov 25, 2016",
,
Maturity in Yrs,Zero Coupon  (in %)          (Semi-annual)
0.25,5.86
0.50,5.94
0.75,5.98
1.00,5.97
1.25,5.94
1.50,5.92
1.75,5.92
2.00,5.94
2.25,5.96
2.50,5.99
2.75,6.03
3.00,6.06
3.25,6.09
3.50,6.12
3.75,6.14
4.00,6.15
4.25,6.16
4.50,6.17
4.75,6.17
5.00,6.17
5.25,6.16
5.50,6.16
5.75,6.16
6.00,6.17
6.25,6.18
6.50,6.20
6.75,6.22
7.00,6.25
7.25,6.28
7.50,6.31
7.75,6.35
8.00,6.39
8.25,6.41
8.50,6.41
8.75,6.38
9.00,6.32
9.25,6.27
9.50,6.24
9.75,6.24
10.00,6.31
10.25,6.41
10.50,6.53
10.75,6.64
11.00,6.72
11.25,6.75
11.50,6.74
11.75,6.67
12.00,6.58
12.25,6.50
12.50,6.44
12.75,6.42
13.00,6.43
13.25,6.46
13.50,6.51
13.75,6.56
14.00,6.62
14.25,6.69
14.50,6.75
14.75,6.80
15.00,6.85
15.25,6.88
15.50,6.90
15.75,6.90
16.00,6.89
16.25,6.87
16.50,6.85
16.75,6.83
17.00,6.81
17.25,6.79
17.50,6.78
17.75,6.77
18.00,6.76
18.25,6.75
18.50,6.74
18.75,6.74
19.00,6.73
19.25,6.72
19.50,6.72
19.75,6.71
20.00,6.71
20.25,6.70
20.50,6.70
20.75,6.70
21.00,6.69
21.25,6.69
21.50,6.69
21.75,6.69
22.00,6.69
22.25,6.69
22.50,6.69
22.75,6.69
23.00,6.69
23.25,6.70
23.50,6.70
23.75,6.70
24.00,6.70
24.25,6.71
24.50,6.71
24.75,6.72
25.00,6.72
25.25,6.72
25.50,6.73
25.75,6.73
26.00,6.74
26.25,6.74
26.50,6.75
26.75,6.75
27.00,6.76
27.25,6.76
27.50,6.77
27.75,6.77
28.00,6.78
28.25,6.78
28.50,6.79
28.75,6.79
29.00,6.80
29.25,6.80
29.50,6.80
29.75,6.81
30.00,6.81
