type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU AAA,6M,Zero coupon,61,61,61
Rating,FIMMDA,PSU AAA,1Y,Zero coupon,53,53,53
Rating,FIMMDA,PSU AAA,2Y,Zero coupon,73,73,73
Rating,FIMMDA,PSU AAA,3Y,Zero coupon,64,64,64
Rating,FIMMDA,PSU AAA,4Y,Zero coupon,64,64,64
Rating,FIMMDA,PSU AAA,5Y,Zero coupon,64,64,64
Rating,FIMMDA,PSU AAA,6Y,Zero coupon,69,69,69
Rating,FIMMDA,PSU AAA,7Y,Zero coupon,73,73,73
Rating,FIMMDA,PSU AAA,8Y,Zero coupon,69,69,69
Rating,FIMMDA,PSU AAA,9Y,Zero coupon,63,63,63
Rating,FIMMDA,PSU AAA,10Y,Zero coupon,58,58,58
Rating,FIMMDA,PSU AA+,6M,Zero coupon,84,84,84
Rating,FIMMDA,PSU AA+,1Y,Zero coupon,75,75,75
Rating,FIMMDA,PSU AA+,2Y,Zero coupon,85,85,85
Rating,FIMMDA,PSU AA+,3Y,Zero coupon,89,89,89
Rating,FIMMDA,PSU AA+,4Y,Zero coupon,91,91,91
Rating,FIMMDA,PSU AA+,5Y,Zero coupon,91,91,91
Rating,FIMMDA,PSU AA+,6Y,Zero coupon,93,93,93
Rating,FIMMDA,PSU AA+,7Y,Zero coupon,95,95,95
Rating,FIMMDA,PSU AA+,8Y,Zero coupon,94,94,94
Rating,FIMMDA,PSU AA+,9Y,Zero coupon,91,91,91
Rating,FIMMDA,PSU AA+,10Y,Zero coupon,88,88,88
Rating,FIMMDA,PSU AA,6M,Zero coupon,104,104,104
Rating,FIMMDA,PSU AA,1Y,Zero coupon,95,95,95
Rating,FIMMDA,PSU AA,2Y,Zero coupon,107,107,107
Rating,FIMMDA,PSU AA,3Y,Zero coupon,114,114,114
Rating,FIMMDA,PSU AA,4Y,Zero coupon,114,114,114
Rating,FIMMDA,PSU AA,5Y,Zero coupon,114,114,114
Rating,FIMMDA,PSU AA,6Y,Zero coupon,112,112,112
Rating,FIMMDA,PSU AA,7Y,Zero coupon,112,112,112
Rating,FIMMDA,PSU AA,8Y,Zero coupon,112,112,112
Rating,FIMMDA,PSU AA,9Y,Zero coupon,112,112,112
Rating,FIMMDA,PSU AA,10Y,Zero coupon,111,111,111
Rating,FIMMDA,PSU AA-,6M,Zero coupon,129,129,129
Rating,FIMMDA,PSU AA-,1Y,Zero coupon,120,120,120
Rating,FIMMDA,PSU AA-,2Y,Zero coupon,133,133,133
Rating,FIMMDA,PSU AA-,3Y,Zero coupon,141,141,141
Rating,FIMMDA,PSU AA-,4Y,Zero coupon,140,140,140
Rating,FIMMDA,PSU AA-,5Y,Zero coupon,138,138,138
Rating,FIMMDA,PSU AA-,6Y,Zero coupon,142,142,142
Rating,FIMMDA,PSU AA-,7Y,Zero coupon,147,147,147
Rating,FIMMDA,PSU AA-,8Y,Zero coupon,146,146,146
Rating,FIMMDA,PSU AA-,9Y,Zero coupon,142,142,142
Rating,FIMMDA,PSU AA-,10Y,Zero coupon,140,140,140
Rating,FIMMDA,PSU A+,6M,Zero coupon,204,204,204
Rating,FIMMDA,PSU A+,1Y,Zero coupon,195,195,195
Rating,FIMMDA,PSU A+,2Y,Zero coupon,208,208,208
Rating,FIMMDA,PSU A+,3Y,Zero coupon,216,216,216
Rating,FIMMDA,PSU A+,4Y,Zero coupon,215,215,215
Rating,FIMMDA,PSU A+,5Y,Zero coupon,213,213,213
Rating,FIMMDA,PSU A+,6Y,Zero coupon,217,217,217
Rating,FIMMDA,PSU A+,7Y,Zero coupon,222,222,222
Rating,FIMMDA,PSU A+,8Y,Zero coupon,222,222,222
Rating,FIMMDA,PSU A+,9Y,Zero coupon,218,218,218
Rating,FIMMDA,PSU A+,10Y,Zero coupon,215,215,215
Rating,FIMMDA,PSU A,6M,Zero coupon,229,229,229
Rating,FIMMDA,PSU A,1Y,Zero coupon,220,220,220
Rating,FIMMDA,PSU A,2Y,Zero coupon,233,233,233
Rating,FIMMDA,PSU A,3Y,Zero coupon,241,241,241
Rating,FIMMDA,PSU A,4Y,Zero coupon,240,240,240
Rating,FIMMDA,PSU A,5Y,Zero coupon,238,238,238
Rating,FIMMDA,PSU A,6Y,Zero coupon,242,242,242
Rating,FIMMDA,PSU A,7Y,Zero coupon,247,247,247
Rating,FIMMDA,PSU A,8Y,Zero coupon,247,247,247
Rating,FIMMDA,PSU A,9Y,Zero coupon,243,243,243
Rating,FIMMDA,PSU A,10Y,Zero coupon,240,240,240
Rating,FIMMDA,PSU A-,6M,Zero coupon,229,229,229
Rating,FIMMDA,PSU A-,1Y,Zero coupon,220,220,220
Rating,FIMMDA,PSU A-,2Y,Zero coupon,233,233,233
Rating,FIMMDA,PSU A-,3Y,Zero coupon,241,241,241
Rating,FIMMDA,PSU A-,4Y,Zero coupon,240,240,240
