currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR TBILL,,7D,5.65,5.65,,
INR,Dep.Gen.,\INR TBILL,,14D,5.65,5.65,,
INR,Dep.Gen.,\INR TBILL,,30D,5.65,5.65,,
INR,Dep.Gen.,\INR TBILL,,60D,5.697,5.697,,
INR,Dep.Gen.,\INR TBILL,,90D,5.7429,5.7429,,
INR,Dep.Gen.,\INR TBILL,,120D,5.7489,5.7489,,
INR,Dep.Gen.,\INR TBILL,,150D,5.7739,5.7739,,
INR,Dep.Gen.,\INR TBILL,,180D,5.797,5.797,,
INR,Dep.Gen.,\INR TBILL,,210D,5.8061,5.8061,,
INR,Dep.Gen.,\INR TBILL,,240D,5.8148,5.8148,,
INR,Dep.Gen.,\INR TBILL,,270D,5.8238,5.8238,,
INR,Dep.Gen.,\INR TBILL,,300D,5.8328,5.8328,,
INR,Dep.Gen.,\INR TBILL,,330D,5.8416,5.8416,,
INR,Dep.Gen.,\INR TBILL,,364D,5.8506,5.8506,,
