type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU AAA,6M,Zero coupon,0.61,0.61,0.61
Rating,FIMMDA,PSU AAA,1Y,Zero coupon,0.53,0.53,0.53
Rating,FIMMDA,PSU AAA,2Y,Zero coupon,0.73,0.73,0.73
Rating,FIMMDA,PSU AAA,3Y,Zero coupon,0.64,0.64,0.64
Rating,FIMMDA,PSU AAA,4Y,Zero coupon,0.64,0.64,0.64
Rating,FIMMDA,PSU AAA,5Y,Zero coupon,0.64,0.64,0.64
Rating,FIMMDA,PSU AAA,6Y,Zero coupon,0.69,0.69,0.69
Rating,FIMMDA,PSU AAA,7Y,Zero coupon,0.73,0.73,0.73
Rating,FIMMDA,PSU AAA,8Y,Zero coupon,0.69,0.69,0.69
Rating,FIMMDA,PSU AAA,9Y,Zero coupon,0.63,0.63,0.63
Rating,FIMMDA,PSU AAA,10Y,Zero coupon,0.58,0.58,0.58
Rating,FIMMDA,PSU AA+,6M,Zero coupon,0.84,0.84,0.84
Rating,FIMMDA,PSU AA+,1Y,Zero coupon,0.75,0.75,0.75
Rating,FIMMDA,PSU AA+,2Y,Zero coupon,0.85,0.85,0.85
Rating,FIMMDA,PSU AA+,3Y,Zero coupon,0.89,0.89,0.89
Rating,FIMMDA,PSU AA+,4Y,Zero coupon,0.91,0.91,0.91
Rating,FIMMDA,PSU AA+,5Y,Zero coupon,0.91,0.91,0.91
Rating,FIMMDA,PSU AA+,6Y,Zero coupon,0.93,0.93,0.93
Rating,FIMMDA,PSU AA+,7Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,PSU AA+,8Y,Zero coupon,0.94,0.94,0.94
Rating,FIMMDA,PSU AA+,9Y,Zero coupon,0.91,0.91,0.91
Rating,FIMMDA,PSU AA+,10Y,Zero coupon,0.88,0.88,0.88
Rating,FIMMDA,PSU AA,6M,Zero coupon,1.04,1.04,1.04
Rating,FIMMDA,PSU AA,1Y,Zero coupon,0.95,0.95,0.95
Rating,FIMMDA,PSU AA,2Y,Zero coupon,1.07,1.07,1.07
Rating,FIMMDA,PSU AA,3Y,Zero coupon,1.14,1.14,1.14
Rating,FIMMDA,PSU AA,4Y,Zero coupon,1.14,1.14,1.14
Rating,FIMMDA,PSU AA,5Y,Zero coupon,1.14,1.14,1.14
Rating,FIMMDA,PSU AA,6Y,Zero coupon,1.12,1.12,1.12
Rating,FIMMDA,PSU AA,7Y,Zero coupon,1.12,1.12,1.12
Rating,FIMMDA,PSU AA,8Y,Zero coupon,1.12,1.12,1.12
Rating,FIMMDA,PSU AA,9Y,Zero coupon,1.12,1.12,1.12
Rating,FIMMDA,PSU AA,10Y,Zero coupon,1.11,1.11,1.11
Rating,FIMMDA,PSU AA-,6M,Zero coupon,1.29,1.29,1.29
Rating,FIMMDA,PSU AA-,1Y,Zero coupon,1.2,1.2,1.2
Rating,FIMMDA,PSU AA-,2Y,Zero coupon,1.33,1.33,1.33
Rating,FIMMDA,PSU AA-,3Y,Zero coupon,1.41,1.41,1.41
Rating,FIMMDA,PSU AA-,4Y,Zero coupon,1.4,1.4,1.4
Rating,FIMMDA,PSU AA-,5Y,Zero coupon,1.38,1.38,1.38
Rating,FIMMDA,PSU AA-,6Y,Zero coupon,1.42,1.42,1.42
Rating,FIMMDA,PSU AA-,7Y,Zero coupon,1.47,1.47,1.47
