type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU,6M,Asset Swap,61,61,61
Rating,FIMMDA,PSU,1Y,Asset Swap,53,53,53
Rating,FIMMDA,PSU,2Y,Asset Swap,73,73,73
Rating,FIMMDA,PSU,3Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,4Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,5Y,Asset Swap,64,64,64
Rating,FIMMDA,PSU,6Y,Asset Swap,69,69,69
Rating,FIMMDA,PSU,7Y,Asset Swap,73,73,73
Rating,FIMMDA,PSU,8Y,Asset Swap,69,69,69
Rating,FIMMDA,PSU,9Y,Asset Swap,63,63,63
Rating,FIMMDA,PSU,10Y,Asset Swap,58,58,58
Rating,FIMMDA,PSU,6M,Asset Swap,84,84,84
Rating,FIMMDA,PSU,1Y,Asset Swap,75,75,75
Rating,FIMMDA,PSU,2Y,Asset Swap,85,85,85
Rating,FIMMDA,PSU,3Y,Asset Swap,89,89,89
Rating,FIMMDA,PSU,4Y,Asset Swap,91,91,91
Rating,FIMMDA,PSU,5Y,Asset Swap,91,91,91
Rating,FIMMDA,PSU,6Y,Asset Swap,93,93,93
Rating,FIMMDA,PSU,7Y,Asset Swap,95,95,95
Rating,FIMMDA,PSU,8Y,Asset Swap,94,94,94
Rating,FIMMDA,PSU,9Y,Asset Swap,91,91,91
Rating,FIMMDA,PSU,10Y,Asset Swap,88,88,88
Rating,FIMMDA,PSU,6M,Asset Swap,104,104,104
Rating,FIMMDA,PSU,1Y,Asset Swap,95,95,95
Rating,FIMMDA,PSU,2Y,Asset Swap,107,107,107
Rating,FIMMDA,PSU,3Y,Asset Swap,114,114,114
Rating,FIMMDA,PSU,4Y,Asset Swap,114,114,114
Rating,FIMMDA,PSU,5Y,Asset Swap,114,114,114
Rating,FIMMDA,PSU,6Y,Asset Swap,112,112,112
Rating,FIMMDA,PSU,7Y,Asset Swap,112,112,112
Rating,FIMMDA,PSU,8Y,Asset Swap,112,112,112
Rating,FIMMDA,PSU,9Y,Asset Swap,112,112,112
Rating,FIMMDA,PSU,10Y,Asset Swap,111,111,111
Rating,FIMMDA,PSU,6M,Asset Swap,129,129,129
Rating,FIMMDA,PSU,1Y,Asset Swap,120,120,120
Rating,FIMMDA,PSU,2Y,Asset Swap,133,133,133
Rating,FIMMDA,PSU,3Y,Asset Swap,141,141,141
Rating,FIMMDA,PSU,4Y,Asset Swap,140,140,140
Rating,FIMMDA,PSU,5Y,Asset Swap,138,138,138
Rating,FIMMDA,PSU,6Y,Asset Swap,142,142,142
Rating,FIMMDA,PSU,7Y,Asset Swap,147,147,147
Rating,FIMMDA,PSU,8Y,Asset Swap,146,146,146
Rating,FIMMDA,PSU,9Y,Asset Swap,142,142,142
Rating,FIMMDA,PSU,10Y,Asset Swap,140,140,140
Rating,FIMMDA,PSU,6M,Asset Swap,204,204,204
Rating,FIMMDA,PSU,1Y,Asset Swap,195,195,195
Rating,FIMMDA,PSU,2Y,Asset Swap,208,208,208
Rating,FIMMDA,PSU,3Y,Asset Swap,216,216,216
Rating,FIMMDA,PSU,4Y,Asset Swap,215,215,215
Rating,FIMMDA,PSU,5Y,Asset Swap,213,213,213
Rating,FIMMDA,PSU,6Y,Asset Swap,217,217,217
Rating,FIMMDA,PSU,7Y,Asset Swap,222,222,222
Rating,FIMMDA,PSU,8Y,Asset Swap,222,222,222
Rating,FIMMDA,PSU,9Y,Asset Swap,218,218,218
Rating,FIMMDA,PSU,10Y,Asset Swap,215,215,215
Rating,FIMMDA,PSU A,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU A,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU A,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU A,3Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU A,4Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU A,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU A,6Y,Asset Swap,242,242,242
Rating,FIMMDA,PSU A,7Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU A,8Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU A,9Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU A,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU,3Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU,4Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU,6Y,Asset Swap,242,242,242
Rating,FIMMDA,PSU,7Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU,8Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU,9Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,6M,Asset Swap,229,229,229
Rating,FIMMDA,PSU,1Y,Asset Swap,220,220,220
Rating,FIMMDA,PSU,2Y,Asset Swap,233,233,233
Rating,FIMMDA,PSU,3Y,Asset Swap,241,241,241
Rating,FIMMDA,PSU,4Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,5Y,Asset Swap,238,238,238
Rating,FIMMDA,PSU,6Y,Asset Swap,242,242,242
Rating,FIMMDA,PSU,7Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU,8Y,Asset Swap,247,247,247
Rating,FIMMDA,PSU,9Y,Asset Swap,243,243,243
Rating,FIMMDA,PSU,10Y,Asset Swap,240,240,240
Rating,FIMMDA,PSU,6M,Asset Swap,229,229,229
