currency,type,generator,market,maturity,bid,ask,askSpread,bidSpread
INR,Dep.Gen.,\INR ZERO ZC SA,,0.25D,5.86,5.86,,
INR,Dep.Gen.,\INR ZERO ZC SA,,0.50D,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,0.75D,5.98,5.98,,
INR,Dep.Gen.,\INR ZERO ZC SA,,1.00D,5.97,5.97,,
INR,Dep.Gen.,\INR ZERO ZC SA,,1.25D,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,1.50D,5.92,5.92,,
INR,Dep.Gen.,\INR ZERO ZC SA,,1.75D,5.92,5.92,,
INR,Dep.Gen.,\INR ZERO ZC SA,,2.00D,5.94,5.94,,
INR,Dep.Gen.,\INR ZERO ZC SA,,2.25D,5.96,5.96,,
INR,Dep.Gen.,\INR ZERO ZC SA,,2.50D,5.99,5.99,,
INR,Dep.Gen.,\INR ZERO ZC SA,,2.75D,6.03,6.03,,
INR,Dep.Gen.,\INR ZERO ZC SA,,3.00D,6.06,6.06,,
INR,Dep.Gen.,\INR ZERO ZC SA,,3.25D,6.09,6.09,,
INR,Dep.Gen.,\INR ZERO ZC SA,,3.50D,6.12,6.12,,
INR,Dep.Gen.,\INR ZERO ZC SA,,3.75D,6.14,6.14,,
INR,Dep.Gen.,\INR ZERO ZC SA,,4.00D,6.15,6.15,,
INR,Dep.Gen.,\INR ZERO ZC SA,,4.25D,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,4.50D,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,4.75D,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,5.00D,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,5.25D,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,5.50D,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,5.75D,6.16,6.16,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6.00D,6.17,6.17,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6.25D,6.18,6.18,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6.50D,6.20,6.20,,
INR,Dep.Gen.,\INR ZERO ZC SA,,6.75D,6.22,6.22,,
INR,Dep.Gen.,\INR ZERO ZC SA,,7.00D,6.25,6.25,,
INR,Dep.Gen.,\INR ZERO ZC SA,,7.25D,6.28,6.28,,
INR,Dep.Gen.,\INR ZERO ZC SA,,7.50D,6.31,6.31,,
INR,Dep.Gen.,\INR ZERO ZC SA,,7.75D,6.35,6.35,,
INR,Dep.Gen.,\INR ZERO ZC SA,,8.00D,6.39,6.39,,
INR,Dep.Gen.,\INR ZERO ZC SA,,8.25D,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,8.50D,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,8.75D,6.38,6.38,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9.00D,6.32,6.32,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9.25D,6.27,6.27,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9.50D,6.24,6.24,,
INR,Dep.Gen.,\INR ZERO ZC SA,,9.75D,6.24,6.24,,
INR,Dep.Gen.,\INR ZERO ZC SA,,10.00D,6.31,6.31,,
INR,Dep.Gen.,\INR ZERO ZC SA,,10.25D,6.41,6.41,,
INR,Dep.Gen.,\INR ZERO ZC SA,,10.50D,6.53,6.53,,
INR,Dep.Gen.,\INR ZERO ZC SA,,10.75D,6.64,6.64,,
INR,Dep.Gen.,\INR ZERO ZC SA,,11.00D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,11.25D,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,11.50D,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,11.75D,6.67,6.67,,
INR,Dep.Gen.,\INR ZERO ZC SA,,12.00D,6.58,6.58,,
INR,Dep.Gen.,\INR ZERO ZC SA,,12.25D,6.50,6.50,,
INR,Dep.Gen.,\INR ZERO ZC SA,,12.50D,6.44,6.44,,
INR,Dep.Gen.,\INR ZERO ZC SA,,12.75D,6.42,6.42,,
INR,Dep.Gen.,\INR ZERO ZC SA,,13.00D,6.43,6.43,,
INR,Dep.Gen.,\INR ZERO ZC SA,,13.25D,6.46,6.46,,
INR,Dep.Gen.,\INR ZERO ZC SA,,13.50D,6.51,6.51,,
INR,Dep.Gen.,\INR ZERO ZC SA,,13.75D,6.56,6.56,,
INR,Dep.Gen.,\INR ZERO ZC SA,,14.00D,6.62,6.62,,
INR,Dep.Gen.,\INR ZERO ZC SA,,14.25D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,14.50D,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,14.75D,6.80,6.80,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15.00D,6.85,6.85,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15.25D,6.88,6.88,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15.50D,6.90,6.90,,
INR,Dep.Gen.,\INR ZERO ZC SA,,15.75D,6.90,6.90,,
INR,Dep.Gen.,\INR ZERO ZC SA,,16.00D,6.89,6.89,,
INR,Dep.Gen.,\INR ZERO ZC SA,,16.25D,6.87,6.87,,
INR,Dep.Gen.,\INR ZERO ZC SA,,16.50D,6.85,6.85,,
INR,Dep.Gen.,\INR ZERO ZC SA,,16.75D,6.83,6.83,,
INR,Dep.Gen.,\INR ZERO ZC SA,,17.00D,6.81,6.81,,
INR,Dep.Gen.,\INR ZERO ZC SA,,17.25D,6.79,6.79,,
INR,Dep.Gen.,\INR ZERO ZC SA,,17.50D,6.78,6.78,,
INR,Dep.Gen.,\INR ZERO ZC SA,,17.75D,6.77,6.77,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18.00D,6.76,6.76,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18.25D,6.75,6.75,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18.50D,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,18.75D,6.74,6.74,,
INR,Dep.Gen.,\INR ZERO ZC SA,,19.00D,6.73,6.73,,
INR,Dep.Gen.,\INR ZERO ZC SA,,19.25D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,19.50D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,19.75D,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,20.00D,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,20.25D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,20.50D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,20.75D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21.00D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21.25D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21.50D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,21.75D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,22.00D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,22.25D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,22.50D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,22.75D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,23.00D,6.69,6.69,,
INR,Dep.Gen.,\INR ZERO ZC SA,,23.25D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,23.50D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,23.75D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,24.00D,6.70,6.70,,
INR,Dep.Gen.,\INR ZERO ZC SA,,24.25D,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,24.50D,6.71,6.71,,
INR,Dep.Gen.,\INR ZERO ZC SA,,24.75D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,25.00D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,25.25D,6.72,6.72,,
INR,Dep.Gen.,\INR ZERO ZC SA,,25.50D,6.73,6.73,,
